matricula(tailNum);agnoFabricacion(planeYear);modelo(model);
N338AA;1987;767-223;
N338AT;2008;737-7BD;
N338NB;2002;A319-114;
N338NW;1992;A320-212;
N338SW;1988;737-3H4;
N338UA;1988;737-322;
N339AA;1988;767-223;
N339NB;2002;A319-114;
N339NW;1992;A320-212;
N339SW;1988;737-3H4;
N339UA;1988;737-322;
N340CA;2002;CL-600-2C10;
N340LV;1987;737-3K2;
N340NB;2002;A319-114;
N340UA;1988;737-322;
N34110;2002;EMB-145XR;
N34111;2002;EMB-145XR;
N34131;1998;757-224;
N34137;1999;757-224;
N341NB;2002;A319-114;
N341NW;1992;A320-212;
N34282;2004;737-824;
N342AA;;;
N342NB;2002;A319-114;
N342NW;1993;A320-212;
N342SW;1989;737-3H4;
N343AA;1979;S-76A;
N343NB;2002;A319-114;
N343NW;1993;A320-212;
N343SW;1989;737-3H4;
N344AT;2008;737-7BD;
N344NB;2002;A319-114;
N344NW;1993;A320-212;
N344SW;1989;737-3H4;
N345AA;1992;G-IV;
N345NB;;A319-114;
N345NW;1993;A320-212;
N345SA;1987;737-3K2;
N346NB;2002;A319-114;
N346SW;1989;737-3H4;
N346UA;1988;737-322;
N347NB;2002;A319-114;
N347NW;1993;A320-212;
N347SW;1989;737-3H4;
N347UA;1988;737-322;
N348AA;;S-76A;
N348NB;2002;A319-114;
N348NW;1993;A320-212;
N348UA;1988;737-322;
N349NB;2002;A319-114;
N349NW;1996;A320-212;
N349SW;1989;737-3H4;
N34CA;;;
N350AA;1980;PA-31-350;
N350NA;1993;A320-212;
N350SW;1989;737-3H4;
N350UA;1989;737-322;
N351NW;1997;A320-212;
N351SW;1989;737-3H4;
N351UA;1989;737-322;
N35204;2000;737-824;
N35260;2001;737-824;
N35271;2001;737-824;
N352AA;1988;767-323;
N352NW;1998;A320-212;
N352SW;1990;737-3H4;
N353AA;1988;767-323;
N353NB;2002;A319-114;
N353NW;1998;A320-212;
N353SW;1990;737-3H4;
N35407;2001;737-924;
N354AA;1988;767-323;
N354CA;2002;CL-600-2C10;
N354NW;1998;A320-212;
