numeroVuelo(flightNum);fecha(flightDate);horaSalida(crsDepTime);horaLlegada(crsArrTime);aeropuertoSalida(originiata);aeropuertoLlegada(destinata);compagnia(carrierCode);avion(tailNum);
1114;26/10/2008;1735;2015;LAX;SLC;WN;N250WN;
1114;27/10/2008;1735;2015;LAX;SLC;WN;N223WN;
1115;26/10/2008;1920;2130;HOU;OAK;WN;N479WN;
1115;26/10/2008;1745;1855;MSY;HOU;WN;N479WN;
1115;26/10/2008;2155;2335;OAK;PDX;WN;N479WN;
1115;27/10/2008;1920;2130;HOU;OAK;WN;N438WN;
1115;27/10/2008;1745;1855;MSY;HOU;WN;N438WN;
1115;27/10/2008;2155;2335;OAK;PDX;WN;N438WN;
1116;25/10/2008;1420;1610;BNA;PHX;WN;N257WN;
1116;25/10/2008;1635;1745;PHX;SNA;WN;N257WN;
1117;26/10/2008;1410;1545;LAS;SMF;WN;N741SA;
